original_team,normalized_team,matched_logo_name,match_score,matched_deduped_team,match_score_meta,logo_country,logo_league,logo_filename
KRC Genk,krc genk,krc genk,100.0,krc genk,100.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Beerschot AC,beerhot,beerhot va,82.35294117647058,beerhot,100.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png
SV Zulte-Waregem,sv zulte waregem,sv zulte waregem,100.0,zulte waregem,85.71428571428572,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Sporting Lokeren,sporting lokeren,sporting cp,66.66666666666667,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
KSV Cercle Brugge,ksv cercle brugge,cercle brugge,86.66666666666667,krc genk,48.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
RSC Anderlecht,r anderlecht,r anderlecht,100.0,beerhot,42.10526315789473,Belgium,Pro League,Beerschot - Belgium - Pro League.png
KAA Gent,kaa gent,kaa gent,100.0,krc genk,62.5,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
RAEC Mons,raec mons,as mono,62.5,krc genk,47.05882352941176,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
FCV Dender EH,v dender eh,v dender eh,100.0,beerhot,44.44444444444444,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Standard de Liège,standard de liege,standard liege,90.32258064516128,zulte waregem,40.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
KV Mechelen,kv mechelen,kv mechelen,100.0,krc genk,42.10526315789473,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Club Brugge KV,club brugge kv,club brugge kv,100.0,krc genk,45.45454545454546,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
KSV Roeselare,ksv roeselare,kv mechelen,58.33333333333333,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
KV Kortrijk,kv kortrijk,kv kortrijk,100.0,krc genk,31.57894736842105,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Tubize,tubize,vizela,50.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Royal Excel Mouscron,royal excel mouron,royal antwerp,51.61290322580645,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
KVC Westerlo,kvc westerlo,kvc westerlo,100.0,beerhot,42.10526315789473,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Sporting Charleroi,sporting charleroi,r charleroi,75.86206896551724,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Sint-Truidense VV,sint truidense vv,sint truidense vv,100.0,zulte waregem,27.58620689655172,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
